id;generated_code;title;description;created_at;shipped_at;recieved_at;status;is_active
1;48469;monitor;synthesize Orchestrator North;2021-05-26;2021-05-26;2021-05-26;OPENED;true
2;77186;Berkshire Buckinghamshire;Auto Salad open-source;2021-05-25;2021-05-26;2021-05-26;IN_PROGRESS;false
3;37759;Account Rial;online deliverables;2021-05-26;2021-05-26;2021-05-26;CLOSED;true
4;54519;deposit;Direct overriding web-enabled;2021-05-26;2021-05-26;2021-05-25;OPENED;true
5;45175;Bedfordshire;hub transitional;2021-05-26;2021-05-25;2021-05-26;IN_PROGRESS;true
6;36493;Legacy Hryvnia Health;Table Plains;2021-05-26;2021-05-25;2021-05-26;CLOSED;true
7;1194;TCP;generate Auto;2021-05-26;2021-05-26;2021-05-26;OPENED;true
8;67223;Internal state;Wooden;2021-05-26;2021-05-25;2021-05-26;CLOSED;true
9;33363;initiatives Personal hacking;Bacon Tasty Computer;2021-05-26;2021-05-25;2021-05-26;OPENED;true
10;28134;Clothing;Account;2021-05-26;2021-05-26;2021-05-26;OPENED;true
